name,no,approximate_price,apply_date,auction_date,İhale Saati,auction_price,auction_no,contract_date,notes
"Rf Dalga kılavuzu Tutturucu Destek Aparatı İmalatı Hizmeti, Faraday Kafesi imalatı hizmeti",TARLA-2017TSHZ0001,54300,6.3.2017,21.3.2017,,57348,,,
41 kalem malzeme,TARLA-2017TSRF001,51038,8.3.2017,21.3.2017,,"36755,82",,,"Alımın İçeriği

1. Şerit metre  (10 adet)
2. Oluklu levye   (3 adet)
3. Boru anahtarı   (3 adet)
4. Manivella   (3 adet)
5. Plastik tokmak  (2 adet)
6. Boya tabancası   (2 adet)
7. Vidalama uç seti    (5 adet)
8. Kerpeten   (2 adet)
9. Karbon çeliği panç seti (1 adet)
10. Kızak yağı    (10 kg)
11. Metal boyası      (30 kg)
12. Sentetik tiner  (16 lt)
13. Selülozik tiner   (16 kg)
14. Metal astar boyası   (30 kg)
15. HSS DIN 338 silindirik saplı matkap ucu seti, haddeli   (4 seri)
16. HSS DIN 338 silindirik saplı matkap ucu seti, taşlanmış   (3 seri)
17. HSS DIN 338 silindirik saplı matkap ucu seti, gümüş seri   (2 seri)
18. HSS DIN 338 silindirik saplı matkap ucu seti, altın seri   (2 seri)
19. HSS DIN 338 silindirik saplı matkap ucu seti, tin kaplamalı  (1 seri)
20. 400x600x230mm Plastik Kasa     (75 adet)
21. 400x600x170mm Plastik Kasa     (50 adet)
22. 400x600x200mm Plastik Kasa     (70 adet)
23. 295x505x235mm Plastik Kasa     (25 adet)
24. 295x505x180mm Plastik Kasa     (110 adet)
25. 256x505x165mm Plastik Kasa     (35 adet)
26. 356*185mm Plastik Kasa Seperatörü    (500 adet)
27. 556*185mm Plastik Kasa Seperatörü    (500 adet)
28. DIN933 A270 M6 X 35       (3.000 adet)
29. DIN933 A270 M6 X 40       (500 adet)
30. DIN933 A270 M6 X 45       (500 adet)
31. DIN933 A270 M8 X 40       (200 adet)
32. DIN933 A270 M8 X 45       (3500 adet)
33. DIN933 A270 M8 X 50       (2000 adet)
34. DIN933 A270 M8 X 55       (1500 adet)
35. DIN975 A270 M8 X tij (1 m )      (20 adet)
36. DIN934 A270 M6 - somum       (5000 adet)
37. DIN934 A270 M8 - somun       (7200 adet)
38. DIN125 A270 M6 - pul       (10000 adet)
39. DIN125 A270 M8 - pul       (14400 adet)
40. DIN127 A270 M8 - rondela       (7500 adet)
41. Korozyon, yapışma ve soğuk kaynaklamaya karşı civata pastası  (5 Adet)

"
Barkod Yazıcısı alımı,TARLA-2017TSDN001,12150,9.3.2017,9.3.2017,,11800,,,
Baskı Devre Makinası,TARLA-2016TSDN023,115650,10.3.2017,,,,,,
Seksiyonel Kapı İmalat ve Kurulum Hizmet,TARLA-2017TSHZ003,53000,15.3.2017,04.05.2017,11:10:00,56286,121460,,
Hızlandırıcı Kontrol Sistemi Danışmanlık Hizmeti (cosylab),TARLA-2017TSHZ006,55000,20.3.2017,19.06.2017,,"289987,42",,06.07.2017-06.04.2018 (270 takvim günü),
"3 kalem donanım alımı (Projeksiyon cihazı Tip1,Zayıf İstemci bilg.ve Projeksiyon cihazı Tip2)",TARLA-2017TSDN004,29985,20.3.2017,29.05.2017,14:10:00,30550,121574,Taahhüt ettiği süre: 4-6 hafta,"Alımın İçeriği

1. Zayıf İstemci Bilgisayar
2. Projeksiyon Cihazı Tip 1
3. Projeksiyon Cihazı Tip 2"
Temiz Oda Kurulum Hizmeti,TARLA-2017TSHZ005,6675000,20.3.2017,29.11.2017,14:00:00,3140000+kdv,,18.12.2017-16.08.2018,
"Vakum Pompaları Bakım Onarım (İyon Pompası, Yağlı Pompa,Turbo Pompa, Leak Dedektörü)",TARLA-2017TSBO001,52800,21.3.2017,04.05.2017,11:00:00,53100," 121463
",,
26 kalem malzeme,TARLA-2017TSRF002,54824,21.3.2017,29.05.2017,14:50:00,50551,121589,,"Alımın İçeriği 
1. Freze koordinat sehpası(1 adet)
2. Parmak freze seti (2 adet)
3. Mandren malafası (1 adet)
4. Yatay dikey döner tabla (1 adet)
5. Dört ayaklı torna ayna (1 adet)
6. Üç ayaklı torna ayna (1 adet)
7. Torna döner punta (1 adet)
8. Gres basma avadanlığı (1 adet)
9. Mandren (5 adet)
10. Kalıp bağlama takımı (1 adet)
11. Yüzey kopya freze aparatı (2 adet)
12. Freze tarafma kafası (2 adet)
13. Karbür kesici uç takımı (10 kutu)
14. Seramik kesici uç takımı (10 kutu)
15. Delik büyütme kiti (1 adet)
16. Pens seti (1 adet)
17. Torna kater seti (5 set)
18. Torna kalem seti (3 set)
19. Yağdanlık (3 adet)
20. Hava tabancası (3 adet)
21. Punta matkabı ucu (10 adet)
22. Somun adaptörü seti (5 seri)
23. Klavuz seti (2 seri)
24. Klavuz kesme yağı (2 adet)
25. Paslanmaz Mig-Mag kaynak teli (1 adet)
26. Paslanmaz kaynak elektrodu (10 adet)"
İdari Bina Elektrik Tesisatı Bakım ve Kablolama ve Etiketlendirme Hizmeti,TARLA-2017TSHZ001,57850,21.03.2017-22.06.2017,28.07.2017,11:15:00,61006,122318,07.08.2017-25.08.2017,
LLRF Tasarım Hizmeti,TARLA-2017TSHZ008,"1365046,8",23.03.2017-22.06.2017,03.08.2017,,1400000,,Mal Mukabili olduğu için sözleşme yapılmıyor.,
Demet Görüntüleme Sistemi Tutucusu İmalatı Hizmeti,TARLA-2017TSHZ010,21000,3.4.2017,29.05.2017,15:00:00,11800,121592,30.05.2017-30.06.2017,
28 kalem sarf  malzeme alımı,TARLA-2017TSRF004,29760,10.04.2017-22.06.2017,28.07.2017,11:00:00,43542,122315,,"Alımın İçeriği

1 300x40x1,50 mm kablo kanalı 350 Adet 
2 Kablo kanalı ek parçası (H=40) 300 Adet 
3 Kablo tavası U destek L=2400 mm 50 Adet 
4 Kablo tavası U konsol L=325 mm 700 Adet 
5 M8 tava civatası 3000 Adet
6 M8 flanşlı somun 3000 Adet 
7 M6 tava civatası 5000 Adet 
8 M6 flanşlı somun 5000 Adet 
9 M8 tij (2 metre) 50 Adet 
10 Kablo tavası 300 mm 90 derece dönüş 200 Adet 
11 Kablo tavası 300 mm T bağlantı 50 Adet 
12 Kablo tavası 300 mm dörtlü kavşak (delikli tip) 25 Adet
13 Kablo tavası 300 mm için dikey T elemanı 50 Adet
14 Kablo tavası 300 mm dikey dönüş (ayarlanabilir, standart delikli) 200 Adet
15 Priz montaj elemanı 10 Adet 
16 200x40x1,50 mm kablo kanalı 150 Adet 
17 Kablo tavası U konsol L=225 mm 200 Adet 
18 Kablo tavası 200 mm 90 derece dönüş 30 Adet 
19 Kablo tavası 200 mm T bağlantı 10 Adet 
20 Kablo tavası 200 mm için dikey T elemanı 25 Adet 
21 Kablo tavası 200 mm dikey dönüş (ayarlanabilir, standart delikli) 50 adet
22 100x40x1,50 mm kablo kanalı 50 Adet 
23 Kablo tavası U konsol L=125 mm 50 Adet 
24 Kablo tavası 100 mm 90 derece dönüş 30 Adet 
25 Kablo tavası 100 mm T bağlantı 10 Adet 
26 Kablo tavası 100 mm için dikey T elemanı 15 Adet 
27 Kablo tavası 100 mm dikey dönüş (ayarlanabilir, standart delikli) 10 Adet 
28 M8 tij (2 metre) 50 Adet "
Tarla Tesisi Misafirhane ve Laboratuvar Mekanları Mutfak tadilat ve Kurulum Hizmeti,TARLA-2017TSHZ004,107783,10.4.2017,04.07.2017,15:00:00,88500,121871,14.07.2017-24.08.2017 (30 iş günü),
Havalandırma Sistemi ve Kazan Brulör Bakım ve Tadilatı Hizmeti,TARLA-2017TSHZ007,54000,11.4.2017,29.05.2017,14:20:00,56640,121577,30.05.2017-15.12.2017,
RF Sinyal Üreteci,TARLA-2017TSDN002,184118,19.04.2017-22.11.2017,12.12.2017,11:00:00,113900+KDV,122914,25.12.2017-04.04.2018,
